msg_id,app_protocol,src_app,dst_app,message,timestamp
1,HTTP,client_browser,web_server,GET /index.html,0.015
2,HTTP,client_browser,web_server,GET /style.css,0.034
3,HTTP,client_browser,web_server,POST /login,0.082
4,HTTP,web_server,client_browser,200 OK - index.html,0.110
5,HTTP,web_server,client_browser,200 OK - style.css,0.140
6,HTTP,web_server,client_browser,302 Redirect /dashboard,0.155
7,HTTP,client_browser,web_server,GET /dashboard,0.190
8,HTTP,web_server,client_browser,200 OK - dashboard.html,0.220
9,HTTP,client_browser,web_server,GET /profile,0.260
10,HTTP,web_server,client_browser,200 OK - profile.json,0.310